弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
这么duang，吓到我了,4分4秒,2023--04--06 17:35:03,普通弹幕,25,6a06ab8
说嗨嗨↑（破音）,3分42秒,2023--04--06 17:37:46,顶部弹幕,25,eb993d93
多看一眼就会爆炸,5分14秒,2023--04--06 17:39:00,顶部弹幕,25,c3732bba
吓得我赶紧看了一眼进度条，还好翻车了,1分48秒,2023--04--06 17:34:04,顶部弹幕,25,cb96dc95
把超大给我ban了！,4分33秒,2023--04--06 18:10:50,顶部弹幕,25,40ed9b99
错辣！是排气气！包黄油！敲紧紧,1分15秒,2023--04--06 17:38:29,顶部弹幕,25,d963af29
viri 黄宝石,1分5秒,2023--04--06 17:35:21,顶部弹幕,25,bc54d697
《因為白嫖》,2分22秒,2023--04--06 18:11:16,普通弹幕,25,b5b61c7c
放国内，这失败流心馅反而卖更贵（doge,2分40秒,2023--04--06 18:57:04,顶部弹幕,25,2c7f6d09
致死量,3分19秒,2023--04--06 17:42:41,顶部弹幕,25,de26078b
懂了，这期公园是甲方（doge）,6分26秒,2023--04--06 18:44:05,普通弹幕,25,f50e0660
暗示三连(~‾▿‾)~〜(꒪꒳꒪)〜,2分27秒,2023--04--06 17:35:17,顶部弹幕,25,2eea4c7
羊言羊语,1分10秒,2023--04--06 17:36:40,顶部弹幕,25,de26078b
《夹生饭》,2分35秒,2023--04--06 17:51:07,顶部弹幕,25,3d0c42bf
大姨（限定圣诞老人版）,5分50秒,2023--04--06 17:42:58,顶部弹幕,25,f444de25
她拟声词一直可以的,0分42秒,2023--04--06 17:37:39,普通弹幕,25,9a8d6333
好！！很有精神！！,2分59秒,2023--04--06 17:36:52,顶部弹幕,25,b4fd2c39
语言指导：小潮,0分12秒,2023--04--06 18:11:43,顶部弹幕,25,447268ca
原版烤焦了都，这个刚好,2分15秒,2023--04--06 17:51:17,普通弹幕,25,89b306ca
生活给了我一巴掌（无端,4分48秒,2023--04--06 17:47:49,顶部弹幕,25,9ab0168d
《砗磲》,0分4秒,2023--04--06 17:44:58,顶部弹幕,25,154890d9
《比头还大的小蛋挞》,4分59秒,2023--04--06 17:41:49,顶部弹幕,25,cb96dc95
蛋挞之大，雨哥一口吃不下,4分39秒,2023--04--06 17:41:05,顶部弹幕,25,2c12dc93
我要是能做成这样我就觉得成功了（确信,2分8秒,2023--04--06 17:40:03,顶部弹幕,25,9ab0168d
我咋觉得羊厂的更好看？,2分1秒,2023--04--06 17:37:47,顶部弹幕,25,2c12dc93
鹰逃啸嘴,5分23秒,2023--04--06 17:36:37,顶部弹幕,25,44646abd
教官：这叠的什么 重叠（,1分34秒,2023--04--06 17:34:13,顶部弹幕,25,4fc3b552
真的真的有没有人觉得这一声很像解解！！！,5分39秒,2023--04--09 11:54:33,普通弹幕,25,df134e23
不简单,2分4秒,2023--04--09 08:29:08,普通弹幕,25,66cbca3b
视频当然不能p图啦,0分10秒,2023--04--08 19:40:44,普通弹幕,25,935caf42
庞麦郎结一下宣传费,2分16秒,2023--04--08 18:33:20,顶部弹幕,25,320619b7
