弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
《芒 果》,2分47秒,2021--07--21 22:16:09,顶部弹幕,25,c4dd0703
小潮院长搅拌机（幻听）,2分15秒,2021--07--31 15:28:05,底部弹幕,25,18bbf7e1
《惠 灵 顿 鸡 腿 堡》,4分14秒,2021--07--21 10:01:04,顶部弹幕,25,86d6b050
二喵/黑猫：？？？,2分36秒,2021--07--20 20:45:47,顶部弹幕,25,1274f5b8
《油条》,3分3秒,2021--07--22 19:37:36,顶部弹幕,25,c341bf4
不行，不吃,1分39秒,2021--07--20 20:23:15,顶部弹幕,25,ef7d5fbc
这不得五块钱一个啊,4分54秒,2021--07--24 17:37:13,普通弹幕,25,358b5c8
这一只不得卖我五块,5分7秒,2021--07--21 00:52:14,普通弹幕,25,a09c3889
《绵阳の奇妙料理》,3分55秒,2022--08--17 18:34:04,普通弹幕,25,63d73e36
未婚夫哈哈哈哈,2分20秒,2021--07--24 15:16:54,顶部弹幕,25,b00f0372
随便一啃，又体重狂飙,5分21秒,2021--07--20 20:44:30,顶部弹幕,25,80dbc6a3
《下辈子一定》,2分29秒,2021--07--20 20:27:24,顶部弹幕,25,30b22dc3
某幻：你再骂！,1分34秒,2021--09--14 15:21:28,顶部弹幕,25,6bcabb9a
眾所周知，綿羊是一個被視頻耽誤的語文老師,5分10秒,2021--08--04 22:44:17,普通弹幕,25,78bcd270
通     辽,3分22秒,2021--08--19 15:10:29,顶部弹幕,25,a245a5d1
现已加入肯德基豪华午餐,4分50秒,2021--08--02 14:57:01,顶部弹幕,25,8bfd1de3
跟着谭ser走成华大道到二仙桥,0分23秒,2021--09--02 18:00:12,顶部弹幕,25,5d543d65
等会！闪电！！！（无意,6分14秒,2021--07--21 10:01:56,顶部弹幕,25,42dc3caa
这一只不卖我五块良心都过不去,4分40秒,2022--08--12 18:17:24,顶部弹幕,25,2301cef2
外酥里嫩的最高境界,4分2秒,2021--12--05 14:57:49,顶部弹幕,25,4dd1cb5f
夺笋,2分21秒,2021--08--06 17:41:37,普通弹幕,25,3c744efb
打破0回复,2分47秒,2021--08--06 17:53:53,普通弹幕,25,4b663ce0
草wwwwwwwww,2分22秒,2021--08--08 20:43:13,普通弹幕,25,785a0e1e
小潮院长搅拌器（幻听）,2分16秒,2022--08--28 14:13:28,普通弹幕,25,d1aa48f2
语言指导查理苏哈哈哈哈哈哈哈哈哈哈哈哈,2分21秒,2021--12--04 17:41:01,普通弹幕,25,e7ce628a
@狛枝凪斗[doge],4分47秒,2021--11--01 12:42:04,普通弹幕,25,ce9d158b
一百块，这是成本。愿意花一百块买面包的粉丝，不在乎多花一百块,3分19秒,2021--09--02 13:01:30,普通弹幕,25,c6bcff3d
乘着看到的人不多赶紧回来删了吧,1分22秒,2021--08--16 22:17:17,普通弹幕,25,1b914e5d
哈哈哈哈哈哈哈哈哈哈,3分44秒,2021--08--13 15:49:43,普通弹幕,25,8ec9e43e
在这居然遇到鸡腿蜂堡的姐妹哈哈哈哈哈哈哈,0分42秒,2021--08--08 17:03:47,普通弹幕,25,d8bde5bc
[ohh],4分53秒,2023--04--10 18:30:06,普通弹幕,25,890f3041
满分作文,5分35秒,2023--04--10 01:42:04,普通弹幕,25,55e871c2
满级作文,5分29秒,2023--04--10 01:41:58,普通弹幕,25,55e871c2
我王多鱼投了,5分3秒,2023--04--10 01:41:30,普通弹幕,25,55e871c2
惠灵顿鸡腿,4分52秒,2023--04--10 01:41:20,普通弹幕,25,55e871c2
好 奇 妙 啊,4分11秒,2023--04--10 01:40:22,普通弹幕,25,55e871c2
芒果tv,2分54秒,2023--04--10 01:38:23,普通弹幕,25,55e871c2
哈哈哈哈哈哈哈哈哈哈哈,1分15秒,2023--04--10 01:36:32,普通弹幕,25,55e871c2
在下炒锅，幸会幸会,4分30秒,2023--04--09 17:40:54,顶部弹幕,25,787a4441
好一只小肥羊,5分29秒,2023--04--09 15:32:11,普通弹幕,25,7aab149
