弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
黄磊老师早期作品,0分9秒,2020--08--31 08:00:47,顶部弹幕,25,f23a6e73
黄  磊  老  师  未  公  开  出  道  早  期  作  品,0分22秒,2020--07--30 11:48:22,顶部弹幕,25,4271064f
赛    博    朋    克    2    0    7    7,0分0秒,2019--11--11 23:46:57,顶部弹幕,25,17102cbd
苏 联 极 限 单 兵 作 战 计 划,1分4秒,2020--10--05 12:23:06,顶部弹幕,25,491ab300
深  夜  食  堂,0分33秒,2020--08--23 10:25:28,顶部弹幕,25,79bb25af
《  光  翼  展  开  》,1分14秒,2020--08--23 06:01:53,顶部弹幕,25,8d7a66e0
仙    人    指    路,0分39秒,2020--10--01 09:54:29,顶部弹幕,25,643c7838
圣光灵神，重生之翼，瀚宇星皇，天启帝君，混元天尊，启灵元神,0分2秒,2020--09--05 07:28:28,顶部弹幕,25,6e7f89aa
实验室震荡试管（标准操作，狗头）,1分21秒,2020--11--20 13:18:46,顶部弹幕,25,bf10031f
老 夫 撩 发 少 年 狂,0分59秒,2020--08--16 13:52:53,顶部弹幕,25,f939947b
让  我  独  享  经  验,0分56秒,2020--06--02 00:08:29,顶部弹幕,25,2e6db7a6
光   翼   展   开,1分15秒,2020--10--01 13:11:20,顶部弹幕,25,de7517df
物业敲门笑死哈哈哈哈哈哈哈,1分19秒,2019--11--23 16:03:22,普通弹幕,25,741c8189
震  荡  试  管,1分18秒,2020--10--04 14:01:29,顶部弹幕,25,9aee9b79
     欢      迎      回       家      ,0分0秒,2021--02--14 11:49:18,顶部弹幕,25,9601ec30
Pdd后排稳定输出,0分44秒,2021--06--07 15:57:55,顶部弹幕,25,926105e6
老 夫 撩 发 少 年 狂,1分0秒,2020--09--26 07:40:34,顶部弹幕,25,f939947b
您   的   面   容   ID   已   解   锁,1分13秒,2020--10--01 21:14:28,顶部弹幕,25,fd1e147b
龙卷风摧毁停车场,0分51秒,2020--08--30 07:47:12,顶部弹幕,25,a58fa831
奥斯卡最佳短片,0分0秒,2020--12--07 13:10:28,顶部弹幕,25,40e84d1d
老 夫 撩 发 少 年 狂,1分0秒,2020--10--23 21:33:39,顶部弹幕,25,f939947b
一 睹 芳 容,1分7秒,2020--07--31 00:54:11,顶部弹幕,25,b21e82e7
借问酒家何处有，牧童忙跳新宝岛。,0分45秒,2020--12--26 09:12:26,顶部弹幕,25,f88c4eb0
请  选  择     您  的  英  雄,0分6秒,2020--12--08 17:49:09,顶部弹幕,25,e7a368a6
黄 磊 上 菜,0分55秒,2020--12--18 14:21:23,顶部弹幕,25,df3bb02a
老   夫   撩   发   少   年   狂,1分2秒,2020--12--16 19:20:59,顶部弹幕,25,5d9048cb
狒   狒   挠   头,0分42秒,2020--10--24 16:13:36,顶部弹幕,25,5fdfff03
光 翼 展 开,1分15秒,2020--09--19 19:05:29,顶部弹幕,25,2ddce483
老夫撩发少年狂,0分59秒,2020--09--29 21:47:35,顶部弹幕,25,18b2fb9a
停      车      场      反      杀      龙      卷      风,0分52秒,2019--10--05 22:19:30,顶部弹幕,25,fe5cb7f7
战 术 踉 跄,0分58秒,2020--09--30 01:04:01,顶部弹幕,25,ed05ef3
黄  磊  切  菜,0分23秒,2020--08--23 10:25:00,顶部弹幕,25,79bb25af
仙   人   指   路,0分38秒,2020--07--29 21:49:28,顶部弹幕,25,4a995a98
龙卷风摧毁停车场,0分55秒,2020--09--25 13:23:55,顶部弹幕,25,e791b37
你也拿土豆 七毛钱一袋哟,0分35秒,2020--09--09 21:49:07,顶部弹幕,25,9ca9528d
您的iPhone已解锁,1分8秒,2020--10--01 22:01:40,顶部弹幕,25,75d9a957
秦  王  扫  六  合,0分50秒,2020--08--02 12:58:56,普通弹幕,25,de2a4d38
秦  王  扫  六  合,0分56秒,2019--11--16 16:34:07,顶部弹幕,25,ba1ffb3c
战   术   踉   跄,0分59秒,2020--07--30 21:58:38,顶部弹幕,25,e6d2e151
秦      王      扫      六      合,0分54秒,2020--07--28 21:24:05,普通弹幕,25,813e7353
你也要土豆，七毛钱一袋呦,0分36秒,2020--10--16 23:10:49,顶部弹幕,25,fdf78c2a
光   翼   展   开,1分15秒,2020--08--06 10:15:09,顶部弹幕,25,a487d53b
您的iPhone已解锁,1分12秒,2020--10--05 17:55:47,顶部弹幕,25,400cdde8
苏 联 极 限 单 兵 作 战 计 划,1分4秒,2021--01--05 19:00:54,普通弹幕,25,16788a4f
钢笔没水,1分17秒,2020--10--29 23:22:15,顶部弹幕,25,21179adf
牛奶 咖喱 土豆 豌豆 梨 西瓜 咸蛋,0分27秒,2020--10--01 23:51:33,顶部弹幕,25,c35b2113
【便宜点便宜点便宜点】,0分32秒,2020--10--17 12:57:38,顶部弹幕,25,2e86dbfb
牛奶，咖喱，土豆，豌豆，梨，西瓜，咸蛋,0分26秒,2020--04--03 14:31:31,顶部弹幕,25,4bc2538c
梦 开 始 的 地 方,0分0秒,2020--09--29 13:36:57,普通弹幕,25,abe164bd
你也要土豆 七毛钱一袋呦,0分35秒,2020--10--01 21:21:58,顶部弹幕,25,7f179d7f
请       选       择       你       的        出        场        英         雄,0分6秒,2019--11--02 14:16:04,顶部弹幕,25,71b5d7a3
一  睹  芳  容,1分8秒,2020--08--20 22:57:24,普通弹幕,25,b908504e
战   术   踉   跄,0分58秒,2020--03--28 15:47:00,顶部弹幕,25,7f25e4b4
战术踉跄,0分58秒,2020--10--27 22:37:28,顶部弹幕,25,76dfd1cf
